date,number,type
2022-03-27,0.00,arrested
2022-04-20,13753.00,arrested
2022-04-25,16053.00,arrested
2022-05-26,35000.00,arrested
2022-06-22,41000.00,arrested
2022-07-20,46000.00,arrested
2022-08-30,51000.00,arrested
2022-09-15,52500.00,arrested
2022-10-15,54518.00,arrested
2022-11-16,57568.00,arrested
2023-01-12,61000.00,arrested
2023-02-15,64111.00,arrested
2023-04-13,67000.00,arrested
2023-06-14,69304.00,arrested
2023-07-12,71479.00,arrested
2023-08-10,72000.00,arrested
2023-10-12,73000.00,arrested
2024-01-10,75163.00,arrested
2022-03-27,0.00,released
2023-01-17,3000.00,released
2023-08-22,7000.00,released
