"Country","Year","Incarcerated Population","Admissions Number","Admissions Rate","Releases Number","Release Rate","Population Size","Population Size 15+","Incarceration Prevalence","Adjusted Incarceration Prevalence","Recidivism Percentage","Life Expectancy at Age 15","Readmissions number","Readmissions percent"
"Peru",1990,"17859",NA,NA,NA,NA,22109000,13404000,80.77705912,133.2363474,NA,56.5,NA,NA
"Peru",1991,NA,NA,NA,NA,NA,22583000,13778000,NA,NA,NA,56.5,NA,NA
"Peru",1992,NA,NA,NA,NA,NA,23047000,14150000,NA,NA,NA,56.8,NA,NA
"Peru",1993,NA,NA,NA,NA,NA,23514000,14534000,NA,NA,NA,56.9,NA,NA
"Peru",1994,NA,NA,NA,NA,NA,23983000,14933000,NA,NA,NA,57.1,NA,NA
"Peru",1995,"20899",NA,NA,NA,NA,24449000,15344000,85.47997873,136.2030761,NA,57.2,NA,NA
"Peru",1996,NA,NA,NA,NA,NA,24907000,15756000,NA,NA,NA,57.4,NA,NA
"Peru",1997,"24297",NA,NA,NA,NA,25365000,16177000,95.78947368,150.1947209,NA,57.6,NA,NA
"Peru",1998,"26059",NA,NA,NA,NA,25818000,16604000,100.9334573,156.9441099,NA,57.8,NA,NA
"Peru",1999,"27400",NA,NA,NA,NA,26252000,17027000,104.3730002,160.9208904,NA,58.2,NA,NA
"Peru",2000,"27734",28392,162.8448523,27887,1.005516694,26654000,17435000,104.0519247,159.0708345,NA,58.6,NA,NA
"Peru",2001,"26968",NA,NA,NA,NA,27015000,17825000,99.82602258,151.2931276,NA,59,NA,NA
"Peru",2002,"27417",NA,NA,NA,NA,27335000,18193000,100.2999817,150.700819,NA,59.4,NA,NA
"Peru",2003,"28896",NA,NA,NA,NA,27623000,18541000,104.6084784,155.8491991,NA,59.8,NA,NA
"Peru",2004,"31311",NA,NA,NA,NA,27894000,18873000,112.2499462,165.9036719,NA,60.1,NA,NA
"Peru",2005,"33010",24931,129.9640307,20336,0.616055741,28147000,19183000,117.2771521,172.0794453,NA,60.3,NA,NA
"Peru",2006,"35835",NA,NA,NA,NA,28381000,19471000,126.2640499,184.0429356,NA,60.3,NA,NA
"Peru",2007,"39684",NA,NA,NA,NA,28600000,19739000,138.7552448,201.0436192,NA,60.3,NA,NA
"Peru",2008,"43286",NA,NA,NA,NA,28806000,20000000,150.2673054,216.43,NA,60.3,NA,NA
"Peru",2009,"44406",NA,NA,NA,NA,29009000,20257000,153.0766314,219.2131115,NA,60.3,NA,NA
"Peru",2010,"45464",27892,135.965682,25948,0.570737287,29230000,20514000,155.53883,221.6242566,NA,60.5,NA,NA
"Peru",2011,"52700",33696,162.163723,27194,0.51601518,29478000,20779000,178.7773933,253.6214447,NA,60.8,NA,NA
"Peru",2012,"58019",25262,119.975304,17773,0.306330685,29750000,21056000,195.0218487,275.5461626,NA,61.2,NA,NA
"Peru",2013,"67597",24506,114.8144678,18918,0.279864491,30039000,21344000,225.0307933,316.7025862,NA,61.5,NA,NA
"Peru",2014,"70276",21464,99.1408776,17715,0.252077523,30354000,21650000,231.521381,324.6004619,NA,61.9,NA,NA
"Peru",2015,"77242",22762,103.5201019,17387,0.225097745,30712000,21988000,251.504298,351.2916136,NA,62.1,NA,NA
"Peru",2016,"79644",23970,107.1572265,19348,0.242931043,31133000,22369000,255.8185848,356.0463141,0.2628,62.2,NA,NA
"Peru",2017,"85811",23490,103.0263158,19650,0.228991621,31605000,22800000,271.5108369,376.3640351,0.2595,62.3,NA,NA
"Peru",2018,"87995",24339,104.1864646,19208,0.21828513,32204000,23361000,273.2424544,376.6747999,0.2597,62.4,NA,NA
"Peru",2019,"95548",23499,98.12100714,19517,0.204263826,32825000,23949000,291.083016,398.9644662,0.2547,62.4,NA,NA
"Peru",2020,"92195",13254,54.2729618,21587,0.234145019,33305000,24421000,276.8202973,377.5234429,0.2536,59.8,NA,NA
"Peru",2021,"87245",17318,69.72381029,16335,0.18723136,33715000,24838000,258.7720599,351.2561398,0.2537,58.5,NA,NA
"Peru",2022,"90293",19780,78.083057,16882,0.18696909,34050000,25332000,265.1776799,356.4384968,0.2471,59.5,NA,NA
"Peru",2023,"92351",NA,NA,NA,NA,34187000,25400000,270.1348466,363.5866142,0.2457,63.1,NA,NA
"Brazil",1990,"90000",NA,NA,NA,NA,150706000,97598000,59.71892294,92.21500441,NA,56.2,NA,NA
"Brazil",1991,"114300",NA,NA,NA,NA,153336000,99984000,74.54218188,114.3182909,NA,56.3,NA,NA
"Brazil",1992,"126200",NA,NA,NA,NA,155901000,102414000,80.94880726,123.2253403,NA,56.5,NA,NA
"Brazil",1993,"126200",NA,NA,NA,NA,158441000,104904000,79.65110041,120.3004652,NA,56.7,NA,NA
"Brazil",1994,"129200",NA,NA,NA,NA,160980000,107454000,80.25841719,120.237497,NA,56.9,NA,NA
