"country","year","iso2","iso3","iso_numeric","g_whoregion","e_pop_num","e_inc_100k","e_inc_100k_lo","e_inc_100k_hi","e_inc_num","e_inc_num_lo","e_inc_num_hi","e_tbhiv_prct","e_tbhiv_prct_lo","e_tbhiv_prct_hi","e_inc_tbhiv_100k","e_inc_tbhiv_100k_lo","e_inc_tbhiv_100k_hi","e_inc_tbhiv_num","e_inc_tbhiv_num_lo","e_inc_tbhiv_num_hi","e_mort_exc_tbhiv_100k","e_mort_exc_tbhiv_100k_lo","e_mort_exc_tbhiv_100k_hi","e_mort_exc_tbhiv_num","e_mort_exc_tbhiv_num_lo","e_mort_exc_tbhiv_num_hi","e_mort_tbhiv_100k","e_mort_tbhiv_100k_lo","e_mort_tbhiv_100k_hi","e_mort_tbhiv_num","e_mort_tbhiv_num_lo","e_mort_tbhiv_num_hi","e_mort_100k","e_mort_100k_lo","e_mort_100k_hi","e_mort_num","e_mort_num_lo","e_mort_num_hi","cfr","cfr_lo","cfr_hi","cfr_pct","cfr_pct_lo","cfr_pct_hi","c_cdr","c_cdr_lo","c_cdr_hi","c_newinc","c_newinc_per100k"
"Anguilla",2000,"AI","AIA",660,"AMR",11047,23,14,33,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,5.5,15,1,1,2,0,0,0,0,0,0,9.6,5.5,15,1,1,2,0.45,0.19,0.72,45,19,72,NA,NA,NA,NA,NA
"Anguilla",2001,"AI","AIA",660,"AMR",11344,22,14,32,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,5.5,15,1,1,2,0,0,0,0,0,0,9.6,5.5,15,1,1,2,0.45,0.19,0.73,45,19,73,0,0,0,0,0
"Anguilla",2002,"AI","AIA",660,"AMR",11560,22,14,32,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,5.5,15,1,1,2,0,0,0,0,0,0,9.6,5.5,15,1,1,2,0.45,0.19,0.72,45,19,72,0,0,0,0,0
"Anguilla",2003,"AI","AIA",660,"AMR",11744,22,14,32,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,5.4,15,1,1,2,0,0,0,0,0,0,9.5,5.4,15,1,1,2,0.45,0.19,0.72,45,19,72,0,0,0,0,0
"Anguilla",2004,"AI","AIA",660,"AMR",11934,22,14,32,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,5.4,15,1,1,2,0,0,0,0,0,0,9.5,5.4,15,1,1,2,0.45,0.19,0.72,45,19,72,0,0,0,0,0
"Anguilla",2005,"AI","AIA",660,"AMR",12128,22,14,31,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,5.2,14,1,1,2,0,0,0,0,0,0,9.2,5.2,14,1,1,2,0.44,0.19,0.7,44,19,70,NA,NA,NA,NA,NA
"Anguilla",2006,"AI","AIA",660,"AMR",12325,22,14,31,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,5.3,14,1,1,2,0,0,0,0,0,0,9.4,5.3,14,1,1,2,0.45,0.19,0.72,45,19,72,0,0,0,0,0
"Anguilla",2007,"AI","AIA",660,"AMR",12524,22,14,31,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,5.3,14,1,1,2,0,0,0,0,0,0,9.3,5.3,14,1,1,2,0.45,0.19,0.72,45,19,72,0,0,0,0,0
"Anguilla",2008,"AI","AIA",660,"AMR",12730,22,14,31,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,5.1,14,1,1,2,0,0,0,0,0,0,8.9,5.1,14,1,1,2,0.43,0.19,0.69,43,19,69,NA,NA,NA,NA,NA
"Anguilla",2009,"AI","AIA",660,"AMR",12946,21,14,30,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,5,14,1,1,2,0,0,0,0,0,0,8.8,5,14,1,1,2,0.43,0.19,0.69,43,19,69,NA,NA,NA,NA,NA
"Anguilla",2010,"AI","AIA",660,"AMR",13172,21,14,30,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,3.6,9.4,1,0,1,0,0,0,0,0,0,6.2,3.6,9.4,1,0,1,0.3,0.14,0.49,30,14,49,36,25,55,1,7.65990042129452
"Anguilla",2011,"AI","AIA",660,"AMR",13341,21,14,30,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,5.2,14,1,1,2,0,0,0,0,0,0,9.1,5.2,14,1,1,2,0.45,0.19,0.72,45,19,72,0,0,0,0,0
"Anguilla",2012,"AI","AIA",660,"AMR",13455,21,14,30,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5.2,14,1,1,2,0,0,0,0,0,0,9,5.2,14,1,1,2,0.45,0.19,0.72,45,19,72,0,0,0,0,0
"Anguilla",2013,"AI","AIA",660,"AMR",13700,21,14,30,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5.1,14,1,1,2,0,0,0,0,0,0,9,5.1,14,1,1,2,0.45,0.19,0.72,45,19,72,0,0,0,0,0
"Anguilla",2014,"AI","AIA",660,"AMR",14120,23,14,33,3,2,5,100,51,100,23,10,39,3,1,6,0,0,3.4,0,0,0,12,5.7,22,2,1,3,12,5.2,23,2,1,3,0.58,0.12,0.95,58,12,95,31,22,50,1,7.2020165646381
"Anguilla",2015,"AI","AIA",660,"AMR",14525,21,14,31,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,5.3,14,1,1,2,0,0,0,0,0,0,9.2,5.3,14,1,1,2,0.45,0.19,0.72,45,19,72,0,0,0,0,0
"Anguilla",2016,"AI","AIA",660,"AMR",14813,22,14,31,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,5.3,14,1,1,2,0,0,0,0,0,0,9.2,5.3,14,1,1,2,0.45,0.19,0.72,45,19,72,0,0,0,0,0
"Anguilla",2017,"AI","AIA",660,"AMR",15015,22,14,31,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,4.9,13,1,1,2,0,0,0,0,0,0,8.6,4.9,13,1,1,2,0.41,0.18,0.67,41,18,67,NA,NA,NA,NA,NA
"Anguilla",2018,"AI","AIA",660,"AMR",15181,22,14,31,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,5.3,14,1,1,2,0,0,0,0,0,0,9.3,5.3,14,1,1,2,0.45,0.19,0.72,45,19,72,0,0,0,0,0
"Anguilla",2019,"AI","AIA",660,"AMR",15380,22,14,31,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,4.9,13,1,1,2,0,0,0,0,0,0,8.5,4.9,13,1,1,2,0.41,0.18,0.67,41,18,67,NA,NA,NA,NA,NA
"Anguilla",2020,"AI","AIA",660,"AMR",15585,22,14,31,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,4.8,13,1,1,2,0,0,0,0,0,0,8.3,4.8,13,1,1,2,0.4,0.18,0.65,40,18,65,NA,NA,NA,NA,NA
"Anguilla",2021,"AI","AIA",660,"AMR",15753,22,14,31,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,5.3,14,1,1,2,0,0,0,0,0,0,9.3,5.3,14,1,1,2,0.45,0.19,0.72,45,19,72,0,0,0,0,0
"Anguilla",2022,"AI","AIA",660,"AMR",15857,22,14,31,3,2,5,0,0,49,0,0,11,0,0,2,6.8,2.9,12,1,0,2,0,0,6.2,0,0,1,6.8,1.3,17,1,0,3,0.33,0.03,0.75,33,3,75,29,20,45,1,6.31672035878972
"Antigua and Barbuda",2000,"AG","ATG",28,"AMR",75055,6.1,5.2,7.1,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,1.3,1,1,1,0,0,0,0,0,0,1.3,1.2,1.3,1,1,1,0.21,0.18,0.24,21,18,24,87,75,100,4,5.37468255781143
"Antigua and Barbuda",2001,"AG","ATG",28,"AMR",76215,1.5,1.3,1.7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,1.3,1,1,1,0,0,0,0,0,0,1.3,1.2,1.3,1,1,1,0.85,0.7,0.95,85,70,95,87,75,100,1,1.32123085866794
"Antigua and Barbuda",2002,"AG","ATG",28,"AMR",77195,6,5.1,6.9,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.3,1.4,1,1,1,0,0,0,0,0,0,1.3,1.3,1.4,1,1,1,0.22,0.19,0.26,22,19,26,87,75,100,4,5.2122017643303
"Antigua and Barbuda",2003,"AG","ATG",28,"AMR",78075,1.5,1.3,1.7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,1.3,1,1,1,0,0,0,0,0,0,1.3,1.2,1.3,1,1,1,0.86,0.71,0.96,86,71,96,87,75,100,1,1.28787976354528
"Antigua and Barbuda",2004,"AG","ATG",28,"AMR",78941,5.5,4.7,6.3,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.1,1.2,1,1,1,0,0,0,0,0,0,1.1,1.1,1.2,1,1,1,0.21,0.18,0.24,21,18,24,NA,NA,NA,NA,NA
"Antigua and Barbuda",2005,"AG","ATG",28,"AMR",79869,8.6,7.4,10,7,6,8,50,14,86,4.2,1.6,8.1,3,1,6,1.2,1.2,1.2,1,1,1,0.76,0.26,1.5,1,0,1,1.9,1.4,2.6,2,1,2,0.23,0.15,0.31,23,15,31,87,75,100,6,7.55857898715042
"Antigua and Barbuda",2006,"AG","ATG",28,"AMR",80895,5.7,4.9,6.6,5,4,5,75,27,99,4.2,2.2,6.8,3,2,5,1.3,1.2,1.3,1,1,1,0.75,0.35,1.3,1,0,1,2,1.5,2.5,2,1,2,0.35,0.26,0.45,35,26,45,87,75,100,4,4.97772468204784
"Antigua and Barbuda",2007,"AG","ATG",28,"AMR",82016,2.8,2.4,3.2,2,2,3,0,0,42,0,0,1.2,0,0,1,1.3,1.3,1.4,1,1,1,0,0,0.21,0,0,0,1.3,1.1,1.6,1,1,1,0.48,0.37,0.58,48,37,58,87,75,100,2,2.45600677857871
"Antigua and Barbuda",2008,"AG","ATG",28,"AMR",83251,1.4,1.2,1.6,1,1,1,0,0,49,0,0,0.66,0,0,1,1.2,1.2,1.2,1,1,1,0,0,0.12,0,0,0,1.2,1.1,1.3,1,1,1,0.88,0.68,0.98,88,68,98,87,75,100,1,1.21068306738662
"Antigua and Barbuda",2009,"AG","ATG",28,"AMR",84534,4.1,3.5,4.7,3,3,4,0,0,35,0,0,1.4,0,0,1,1.6,1.2,2,1,1,2,0,0,0.26,0,0,0,1.6,1.2,2,1,1,2,0.4,0.29,0.52,40,29,52,87,75,100,3,3.57551487414188
"Antigua and Barbuda",2010,"AG","ATG",28,"AMR",85695,9.4,8,11,8,7,9,83,67,94,7.6,6,9.4,7,5,8,1.5,1.3,1.7,1,1,1,1.4,0.91,1.9,1,1,2,2.9,2.3,3.4,2,2,3,0.31,0.23,0.38,31,23,38,87,75,100,7,8.21953195636603
"Antigua and Barbuda",2011,"AG","ATG",28,"AMR",86729,8,6.8,9.2,7,6,8,67,26,96,5.2,2.6,8.5,4,2,7,1.4,1.2,1.5,1,1,1,0.93,0.43,1.6,1,0,1,2.3,1.7,3,2,1,3,0.29,0.21,0.38,29,21,38,87,75,100,6,6.95837730641215
"Antigua and Barbuda",2012,"AG","ATG",28,"AMR",87674,3.9,3.4,4.5,3,3,4,50,8.7,91,1.9,0.58,4,2,1,4,1.2,1.1,1.4,1,1,1,0.34,0.1,0.75,0,0,1,1.6,1.3,2,1,1,2,0.41,0.3,0.51,41,30,51,87,75,100,3,3.43914434088799
"Antigua and Barbuda",2013,"AG","ATG",28,"AMR",88497,13,11,15,12,10,13,44,16,76,5.6,2.3,10,5,2,9,1.9,1.7,2.1,2,2,2,1,0.38,1.9,1,0,2,2.3,1.6,3.2,2,1,3,0.18,0.12,0.25,18,12,25,87,75,100,10,11.3485479532894
"Antigua and Barbuda",2014,"AG","ATG",28,"AMR",89236,3.9,3.3,4.5,3,3,4,33,1.6,83,1.2,0.16,3.4,1,0,3,1.1,1.1,1.1,1,1,1,0.22,0.03,0.63,0,0,1,1.3,1,1.6,1,1,1,0.34,0.25,0.44,34,25,44,87,75,100,3,3.37545146663366
"Antigua and Barbuda",2015,"AG","ATG",28,"AMR",89941,4.2,3.6,4.9,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.1,1.4,1,1,1,0,0,0,0,0,0,1.2,1.1,1.3,1,1,1,0.29,0.24,0.34,29,24,34,NA,NA,NA,NA,NA
"Antigua and Barbuda",2016,"AG","ATG",28,"AMR",90564,3.8,3.3,4.4,3,3,4,0,0,35,0,0,1.3,0,0,1,1.2,1.1,1.4,1,1,1,0,0,0.24,0,0,0,1.2,0.97,1.5,1,1,1,0.32,0.24,0.4,32,24,40,87,75,100,3,3.32277429501805
"Antigua and Barbuda",2017,"AG","ATG",28,"AMR",91119,1.3,1.1,1.5,1,1,1,0,0,49,0,0,0.59,0,0,1,1.2,1,1.3,1,1,1,0,0,0.11,0,0,0,1.2,1.1,1.3,1,1,1,0.95,0.67,1,95,67,100,87,75,100,1,1.10080028180487
"Antigua and Barbuda",2018,"AG","ATG",28,"AMR",91626,6.3,5.4,7.3,6,5,7,0,0,26,0,0,1.6,0,0,1,1.2,1,1.4,1,1,1,0,0,0.28,0,0,0,1.2,0.91,1.5,1,1,1,0.19,0.14,0.25,19,14,25,87,75,100,5,5.47075879424476
"Antigua and Barbuda",2019,"AG","ATG",28,"AMR",92117,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.1,1.3,1,1,1,0,0,0,0,0,0,1.2,1.1,1.3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Antigua and Barbuda",2020,"AG","ATG",28,"AMR",92664,2.5,2.1,2.9,2,2,3,0,0,42,0,0,0.99,0,0,1,1.2,1.1,1.3,1,1,1,0,0,0,0,0,0,1.2,1.1,1.3,1,1,1,0.48,0.4,0.56,48,40,56,87,75,100,2,2.16504108165452
"Antigua and Barbuda",2021,"AG","ATG",28,"AMR",93219,4.9,4.2,5.7,5,4,5,33,3.1,77,0,0,1.5,0,0,1,1.2,1.1,1.3,1,1,1,0,0,0,0,0,0,1.2,1.1,1.3,1,1,1,0.24,0.2,0.28,24,20,28,87,75,100,4,4.30334262138116
"Antigua and Barbuda",2022,"AG","ATG",28,"AMR",93763,1.2,1,1.4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.1,1.3,1,1,1,0,0,0,0,0,0,1.2,1.1,1.3,1,1,1,0.97,0.72,1,97,72,100,87,75,100,1,1.06965599863084
"Argentina",2000,"AR","ARG",32,"AMR",37070774,37,30,44,14000,11000,16000,7.6,4.4,11,2.8,1.6,4.3,1000,580,1600,2.4,2.3,2.5,890,860,920,0.5,0.25,0.83,180,94,310,2.9,2.6,3.2,1100,970,1200,0.08,0.06,0.1,8,6,10,86,72,110,11767,31.9200303819444
"Argentina",2001,"AR","ARG",32,"AMR",37480493,35,29,42,13000,11000,16000,6.5,3.8,9.9,2.3,1.3,3.6,870,490,1400,2.3,2.2,2.4,860,830,890,0.42,0.21,0.69,160,79,260,2.7,2.5,3,1000,920,1100,0.08,0.06,0.09,8,6,9,86,73,100,11456,30.7316358557606
"Argentina",2002,"AR","ARG",32,"AMR",37885028,35,29,42,13000,11000,16000,5.9,3.5,9,2.1,1.2,3.3,790,440,1200,2.4,2.3,2.4,890,860,930,0.38,0.19,0.62,140,72,240,2.7,2.5,3,1000,940,1100,0.08,0.06,0.09,8,6,9,86,73,100,11548,30.6447622958394
"Argentina",2003,"AR","ARG",32,"AMR",38278164,33,27,38,13000,11000,15000,5.6,3.3,8.6,1.8,1,2.9,710,400,1100,2.2,2.1,2.3,830,790,860,0.33,0.17,0.55,130,64,210,2.5,2.3,2.7,960,880,1000,0.08,0.06,0.09,8,6,9,87,74,100,10844,28.4719425599826
"Argentina",2004,"AR","ARG",32,"AMR",38668796,34,28,40,13000,11000,16000,5.6,3.3,8.5,1.9,1.1,3,740,420,1200,2,1.9,2.1,760,730,800,0.35,0.17,0.57,130,68,220,2.3,2.1,2.5,900,820,980,0.07,0.06,0.08,7,6,8,87,73,100,11413,29.6674976148117
"Argentina",2005,"AR","ARG",32,"AMR",39070501,31,26,36,12000,10000,14000,6,3.5,9.1,1.9,1.1,2.9,740,420,1100,2,1.9,2,770,740,800,0.34,0.17,0.56,130,67,220,2.3,2.1,2.5,900,820,990,0.07,0.06,0.09,7,6,9,87,74,100,10576,27.2101254598784
"Argentina",2006,"AR","ARG",32,"AMR",39476851,28,24,33,11000,9600,13000,6.6,3.8,9.9,1.9,1.1,2.9,730,420,1100,1.9,1.8,1.9,740,710,770,0.33,0.17,0.55,130,67,220,2.2,2,2.4,870,800,960,0.08,0.07,0.09,8,7,9,87,75,100,9675,24.6351721967981
"Argentina",2007,"AR","ARG",32,"AMR",39876111,30,25,34,12000,10000,14000,7.1,4.2,11,2.1,1.2,3.2,840,480,1300,1.9,1.8,1.9,740,710,770,0.38,0.19,0.62,150,77,250,2.2,2,2.5,900,810,990,0.08,0.06,0.09,8,6,9,87,75,100,10227,25.7733101912008
"Argentina",2008,"AR","ARG",32,"AMR",40273769,26,23,30,11000,9200,12000,7.3,4.3,11,1.9,1.1,3,780,450,1200,1.6,1.5,1.7,650,620,680,0.35,0.18,0.57,140,72,230,2,1.8,2.2,790,710,880,0.07,0.06,0.09,7,6,9,87,76,99,9196,22.9488990954425
"Argentina",2009,"AR","ARG",32,"AMR",40684338,22,20,24,8900,7900,9900,7.5,4.4,11,1.6,0.95,2.5,660,390,1000,1.6,1.6,1.7,670,640,700,0.29,0.15,0.48,120,62,200,2,1.8,2.1,790,720,870,0.09,0.08,0.1,9,8,10,87,78,97,7701,19.0261370105702
"Argentina",2010,"AR","ARG",32,"AMR",41100123,21,19,23,8500,7600,9400,7.5,4.4,11,1.6,0.91,2.4,640,370,980,1.4,1.4,1.5,580,560,610,0.28,0.15,0.46,120,60,190,1.7,1.5,1.9,700,630,770,0.08,0.07,0.1,8,7,10,87,78,96,7336,17.9395980385583
"Argentina",2011,"AR","ARG",32,"AMR",41520740,27,23,31,11000,9700,13000,7.7,4.6,12,2.1,1.2,3.2,870,500,1300,1.6,1.6,1.7,680,650,710,0.38,0.19,0.62,160,81,260,2,1.8,2.3,840,750,940,0.07,0.06,0.09,7,6,9,87,76,100,9733,23.5623253402992
"Argentina",2012,"AR","ARG",32,"AMR",41952365,24,21,27,10000,8900,11000,7.9,4.7,12,1.9,1.1,2.9,800,460,1200,1.5,1.4,1.6,630,600,660,0.34,0.18,0.56,140,74,240,1.9,1.7,2.1,780,690,860,0.08,0.07,0.09,8,7,9,87,77,98,8758,20.9852817409455
"Argentina",2013,"AR","ARG",32,"AMR",42388269,24,21,27,10000,9100,12000,7.7,4.6,12,1.9,1.1,2.9,800,460,1200,1.6,1.5,1.6,670,640,700,0.34,0.18,0.56,140,74,240,1.9,1.7,2.1,810,730,900,0.08,0.07,0.09,8,7,9,87,77,98,8933,21.1829449998931
"Argentina",2014,"AR","ARG",32,"AMR",42824054,25,22,28,11000,9300,12000,7.4,4.4,11,1.8,1.1,2.8,790,460,1200,1.5,1.4,1.5,630,610,660,0.33,0.17,0.54,140,73,230,1.8,1.6,2,780,700,860,0.07,0.06,0.09,7,6,9,87,77,99,9195,21.5815585758002
"Argentina",2015,"AR","ARG",32,"AMR",43257065,26,22,29,11000,9700,13000,7,4.1,11,1.8,1,2.8,780,450,1200,1.5,1.5,1.6,660,630,680,0.32,0.17,0.53,140,72,230,1.8,1.7,2,800,720,880,0.07,0.06,0.09,7,6,9,87,76,99,9601,22.3059708699958
"Argentina",2016,"AR","ARG",32,"AMR",43668241,27,24,31,12000,10000,14000,6.8,4,10,1.9,1.1,2.9,810,460,1200,1.6,1.5,1.6,690,660,710,0.33,0.17,0.55,150,75,240,1.9,1.7,2.1,830,750,920,0.07,0.06,0.08,7,6,8,87,76,100,10347,23.8016128324347
"Argentina",2017,"AR","ARG",32,"AMR",44054616,27,23,30,12000,10000,13000,6.5,3.8,9.9,1.7,1,2.7,770,440,1200,1.4,1.4,1.5,630,610,650,0.31,0.16,0.52,140,71,230,1.8,1.6,1.9,770,690,860,0.07,0.06,0.08,7,6,8,87,76,100,10170,23.184962265391
"Argentina",2018,"AR","ARG",32,"AMR",44413596,27,23,31,12000,10000,14000,6.3,3.7,9.6,1.7,0.97,2.6,750,430,1200,1.5,1.5,1.6,670,650,700,0.3,0.16,0.5,140,69,220,1.8,1.6,2,810,730,890,0.07,0.06,0.08,7,6,8,87,76,100,10320,23.3248840146411
"Argentina",2019,"AR","ARG",32,"AMR",44745520,29,25,34,13000,11000,15000,6.1,3.6,9.3,1.8,1,2.8,810,460,1200,1.4,1.4,1.5,650,610,680,0.32,0.16,0.54,140,74,240,1.8,1.6,2,820,740,910,0.06,0.05,0.07,6,5,7,87,75,100,11446,25.6736939001694
"Argentina",2020,"AR","ARG",32,"AMR",45036032,28,24,32,13000,11000,15000,6.1,3.6,9.3,1.8,1,2.9,830,470,1300,1.2,1.2,1.2,540,530,560,0.6,0.32,0.95,270,150,430,1.9,1.7,2.2,870,760,980,0.07,0.06,0.08,7,6,8,73,64,87,9322,20.7577902782241
"Argentina",2021,"AR","ARG",32,"AMR",45276780,29,24,33,13000,11000,15000,6.1,3.6,9.3,1.9,1.1,2.9,840,480,1300,1.8,1.5,2.1,800,690,930,0.74,0.63,0.85,330,290,390,2,1.7,2.3,900,780,1000,0.07,0.06,0.08,7,6,8,90,79,110,11927,26.4084216627174
"Argentina",2022,"AR","ARG",32,"AMR",45510318,29,25,33,13000,11000,15000,6.1,3.6,9.3,1.8,1,2.8,810,460,1300,1.2,1,1.3,530,450,610,0.69,0.59,0.79,310,270,360,1.8,1.6,2.1,840,720,970,0.06,0.05,0.08,6,5,8,93,82,110,12343,27.1932521078406
"Aruba",2000,"AW","ABW",533,"AMR",89101,8,6.9,9.3,7,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,0.39,0.95,1,0,1,0,0,0,0,0,0,0.64,0.39,0.95,1,0,1,0.08,0.05,0.12,8,5,12,NA,NA,NA,NA,NA
"Aruba",2001,"AW","ABW",533,"AMR",90691,8.6,7.3,9.9,8,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.42,1,1,0,1,0,0,0,0,0,0,0.68,0.42,1,1,0,1,0.08,0.05,0.12,8,5,12,NA,NA,NA,NA,NA
"Aruba",2002,"AW","ABW",533,"AMR",91781,9.1,7.8,11,8,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,0.44,1.1,1,0,1,0,0,0,0,0,0,0.73,0.44,1.1,1,0,1,0.08,0.05,0.12,8,5,12,NA,NA,NA,NA,NA
"Aruba",2003,"AW","ABW",533,"AMR",92701,9.6,8.2,11,9,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0.47,1.1,1,0,1,0,0,0,0,0,0,0.76,0.47,1.1,1,0,1,0.08,0.05,0.12,8,5,12,NA,NA,NA,NA,NA
"Aruba",2004,"AW","ABW",533,"AMR",93540,10,8.6,12,9,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.49,1.2,1,0,1,0,0,0,0,0,0,0.8,0.49,1.2,1,0,1,0.08,0.05,0.12,8,5,12,NA,NA,NA,NA,NA
"Aruba",2005,"AW","ABW",533,"AMR",94483,10,9,12,10,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0.51,1.2,1,0,1,0,0,0,0,0,0,0.83,0.51,1.2,1,0,1,0.08,0.05,0.12,8,5,12,NA,NA,NA,NA,NA
"Aruba",2006,"AW","ABW",533,"AMR",95606,11,9.3,13,10,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,0.53,1.3,1,1,1,0,0,0,0,0,0,0.86,0.53,1.3,1,1,1,0.08,0.05,0.12,8,5,12,NA,NA,NA,NA,NA
"Aruba",2007,"AW","ABW",533,"AMR",96787,11,9.5,13,11,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0.54,1.3,1,1,1,0,0,0,0,0,0,0.88,0.54,1.3,1,1,1,0.08,0.05,0.12,8,5,12,NA,NA,NA,NA,NA
"Aruba",2008,"AW","ABW",533,"AMR",97996,11,9.7,13,11,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.55,1.3,1,1,1,0,0,0,0,0,0,0.9,0.55,1.3,1,1,1,0.08,0.05,0.12,8,5,12,NA,NA,NA,NA,NA
"Aruba",2009,"AW","ABW",533,"AMR",99212,11,9.8,13,11,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,0.56,1.4,1,1,1,0,0,0,0,0,0,0.91,0.56,1.4,1,1,1,0.08,0.05,0.12,8,5,12,NA,NA,NA,NA,NA
"Aruba",2010,"AW","ABW",533,"AMR",100341,6.9,5.9,7.9,7,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0.34,0.83,1,0,1,0,0,0,0,0,0,0.56,0.34,0.83,1,0,1,0.08,0.05,0.12,8,5,12,87,75,100,6,6.01075925907374
"Aruba",2011,"AW","ABW",533,"AMR",101288,9.1,7.8,10,9,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,0.45,1.1,1,0,1,0,0,0,0,0,0,0.74,0.45,1.1,1,0,1,0.08,0.05,0.12,8,5,12,87,75,100,8,7.93162935496024
"Aruba",2012,"AW","ABW",533,"AMR",102112,32,27,36,32,28,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1.6,3.8,3,2,4,0,0,0,0,0,0,2.6,1.6,3.8,3,2,4,0.08,0.05,0.12,8,5,12,87,75,100,28,27.5281672139528
"Aruba",2013,"AW","ABW",533,"AMR",102880,12,11,14,13,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.62,1.5,1,1,2,0,0,0,0,0,0,1,0.62,1.5,1,1,2,0.08,0.05,0.12,8,5,12,87,75,100,11,10.7307651035519
"Aruba",2014,"AW","ABW",533,"AMR",103594,2.2,1.9,2.6,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.11,0.27,0,0,0,0,0,0,0,0,0,0.18,0.11,0.27,0,0,0,0.08,0.05,0.12,8,5,12,87,75,100,2,1.93702724428819
"Aruba",2015,"AW","ABW",533,"AMR",104257,9.8,8.4,11,10,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0.51,1.2,1,1,1,0,0,0,0,0,0,0.83,0.51,1.2,1,1,1,0.09,0.05,0.13,9,5,13,NA,NA,NA,NA,NA
"Aruba",2016,"AW","ABW",533,"AMR",104874,15,13,18,16,14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0.77,1.9,1,1,2,0,0,0,0,0,0,1.3,0.77,1.9,1,1,2,0.08,0.05,0.12,8,5,12,87,75,100,14,13.3871368739123
"Aruba",2017,"AW","ABW",533,"AMR",105439,8.7,7.5,10,9,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0.44,1.1,1,0,1,0,0,0,0,0,0,0.72,0.44,1.1,1,0,1,0.08,0.05,0.12,8,5,12,87,75,100,8,7.60665963050651
