"country","year","pop.15plus","pop.growth.rate.percent","life.expect.age15"
"Argentina",1990,22714521.5,1.44,71.8
"Argentina",1991,23108453,1.41,72.3
"Argentina",1992,23506869.5,1.37,72.4
"Argentina",1993,23907000.5,1.35,72.6
"Argentina",1994,24310776.5,1.35,73.2
"Argentina",1995,24713374,1.29,73.1
"Argentina",1996,25108553.5,1.23,73.3
"Argentina",1997,25493329.5,1.16,73.1
"Argentina",1998,25871041,1.15,73.5
"Argentina",1999,26248539.5,1.15,73.7
"Argentina",2000,26624150.5,1.12,73.9
"Argentina",2001,26999633.5,1.08,74.2
"Argentina",2002,27378431,1.06,74.4
"Argentina",2003,27753884.5,1,74.1
"Argentina",2004,28132306,1.03,74.9
"Argentina",2005,28525288.5,1.04,75.1
"Argentina",2006,28927655.5,1.03,75.4
"Argentina",2007,29327483,0.98,75
"Argentina",2008,29731217.5,1,75.6
"Argentina",2009,30148662,1.03,75.9
"Argentina",2010,30562156.5,1.01,75.7
"Argentina",2011,30966510.5,1.03,76.1
"Argentina",2012,31368635.5,1.04,76.5
"Argentina",2013,31766823.5,1.03,76.5
"Argentina",2014,32164739.5,1.02,76.8
"Argentina",2015,32559934,0.99,76.8
"Argentina",2016,32936194.5,0.9,76.3
"Argentina",2017,33302275,0.86,76.8
"Argentina",2018,33668547.5,0.76,77
"Argentina",2019,34033646.5,0.73,77.3
"Argentina",2020,34382129,0.57,75.9
"Argentina",2021,34701601.5,0.5,75.4
"Argentina",2022,35018673.5,0.4,62
"Argentina",2023,35367603.5,0.5,63.8
"Argentina",2024,35743322,0.48,64
"Argentina",2025,36124439,0.45,64.1
"Argentina",2026,36508910,0.43,64.3
"Argentina",2027,36894705.5,0.41,64.4
"Argentina",2028,37281175,0.38,64.6
"Argentina",2029,37667136.5,0.36,64.7
"Argentina",2030,38051001,0.34,64.9
"Argentina",2031,38423805,0.31,65
"Argentina",2032,38774940.5,0.28,65.2
"Argentina",2033,39092641.5,0.26,65.3
"Argentina",2034,39380591,0.23,65.5
"Argentina",2035,39645634.5,0.2,65.6
"Brazil",1990,97598302.5,1.77,66
"Brazil",1991,99984794.5,1.69,66.3
"Brazil",1992,102414123,1.63,66.7
"Brazil",1993,104904146.5,1.6,67.1
"Brazil",1994,107454101,1.58,67.6
"Brazil",1995,110052558.5,1.55,67.9
"Brazil",1996,112691757.5,1.51,68.4
