"pop","variable","time","scenario","perc_change_from_2021_rate_per100k","rate_per100k","perc_change_from_2021_rate_per100k_lo","rate_per100k_lo","perc_change_from_2021_rate_per100k_hi","rate_per100k_hi"
"Combined","I",2013,"Continue state of emergency",-11.6793987948728,43.1103585599001,-24.8955666631029,37.7285876919103,-0.75993212714295,49.1873999953448
"Combined","I",2014,"Continue state of emergency",-2.42816168945531,47.7122151587,-17.2007276489619,42.0881880607561,9.8389331571533,53.6625936738319
"Combined","I",2015,"Continue state of emergency",8.40193889645271,53.0598052386864,-7.38637079222229,46.8472050942313,22.198940111683,59.3452799236973
"Combined","I",2016,"Continue state of emergency",21.4203167870266,59.4637706243708,5.49807369855076,52.4250543680379,36.5550584523977,66.8919729202907
"Combined","I",2017,"Continue state of emergency",33.2427285392767,65.3684835913152,18.1248801661831,57.140442817289,48.6587991233206,74.3434355419127
"Combined","I",2018,"Continue state of emergency",25.8545894637598,61.4964504292005,17.700905635468,53.4515292169058,32.4665211992895,71.2007375142642
"Combined","I",2019,"Continue state of emergency",12.66816438494,55.0875561849795,8.2745291212377,46.4122289752951,16.9967970778937,65.7107806511037
"Combined","I",2020,"Continue state of emergency",1.80177955903391,49.8208509957261,-1.97270066883084,41.3754773286605,6.16682213006946,60.5588524344211
"Combined","I",2021,"Continue state of emergency",0,48.8773272522155,0,41.1392883567632,0,59.3146522941279
"Combined","I",2022,"Continue state of emergency",10.3022556456908,53.5730506854696,3.017366443305,44.0868625673557,18.2013776143085,68.1698501961712
"Combined","I",2023,"Continue state of emergency",62.0478264429895,78.9968965623626,34.4479167031109,59.3340428011264,88.705276685435,104.985695262582
"Combined","I",2024,"Continue state of emergency",104.844328562474,101.15111730315,70.4240538937475,76.1486590266885,135.502520827638,124.60396416384
"Combined","I",2025,"Continue state of emergency",120.217439419953,108.263009882114,89.6807856488974,87.7442671537361,153.509675421678,129.72992437922
"Combined","I",2026,"Continue state of emergency",122.070279494828,108.307749863327,90.9080945332957,90.0680244742279,156.225568145042,132.451880486147
"Combined","I",2027,"Continue state of emergency",119.418268439303,106.799946231116,86.2274910409179,87.4763319282034,155.166243870051,135.280179895894
"Combined","I",2028,"Continue state of emergency",116.071447101666,105.011418220026,80.6791537487077,84.1360536588478,155.332754460879,137.914616275845
