"scenario","time","rate_per100k","rate_per100k_lo","rate_per100k_hi"
"Active 10-year reversion",2013,677.051873186129,636.760248144422,699.3564175307
"Active 2-year reversion",2013,677.051873186129,636.760248144422,699.3564175307
"Active 5-year reversion",2013,677.051873186129,636.760248144422,699.3564175307
"Continue state of emergency",2013,677.051873186129,636.760248144422,699.3564175307
"Gradual passive abatement",2013,677.051873186129,636.760248144422,699.3564175307
"Active 10-year reversion",2014,708.645924258118,668.976225798254,730.10524049919
"Active 2-year reversion",2014,708.645924258118,668.976225798254,730.10524049919
"Active 5-year reversion",2014,708.645924258118,668.976225798254,730.10524049919
"Continue state of emergency",2014,708.645924258118,668.976225798254,730.10524049919
"Gradual passive abatement",2014,708.645924258118,668.976225798254,730.10524049919
"Active 10-year reversion",2015,750.159341250398,711.354733645394,771.226551851719
"Active 2-year reversion",2015,750.159341250398,711.354733645394,771.226551851719
"Active 5-year reversion",2015,750.159341250398,711.354733645394,771.226551851719
"Continue state of emergency",2015,750.159341250398,711.354733645394,771.226551851719
"Gradual passive abatement",2015,750.159341250398,711.354733645394,771.226551851719
"Active 10-year reversion",2016,792.840252411254,754.198875497614,815.144346503251
"Active 2-year reversion",2016,792.840252411254,754.198875497614,815.144346503251
"Active 5-year reversion",2016,792.840252411254,754.198875497614,815.144346503251
"Continue state of emergency",2016,792.840252411254,754.198875497614,815.144346503251
"Gradual passive abatement",2016,792.840252411254,754.198875497614,815.144346503251
"Active 10-year reversion",2017,830.315900847167,790.588039353142,854.917382233923
"Active 2-year reversion",2017,830.315900847167,790.588039353142,854.917382233923
"Active 5-year reversion",2017,830.315900847167,790.588039353142,854.917382233923
"Continue state of emergency",2017,830.315900847167,790.588039353142,854.917382233923
"Gradual passive abatement",2017,830.315900847167,790.588039353142,854.917382233923
"Active 10-year reversion",2018,864.252354143402,821.603106093235,891.654327010493
"Active 2-year reversion",2018,864.252354143402,821.603106093235,891.654327010493
"Active 5-year reversion",2018,864.252354143402,821.603106093235,891.654327010493
"Continue state of emergency",2018,864.252354143402,821.603106093235,891.654327010493
"Gradual passive abatement",2018,864.252354143402,821.603106093235,891.654327010493
"Active 10-year reversion",2019,878.250459204468,831.323504853707,910.864456380738
"Active 2-year reversion",2019,878.250459204468,831.323504853707,910.864456380738
"Active 5-year reversion",2019,878.250459204468,831.323504853707,910.864456380738
"Continue state of emergency",2019,878.250459204468,831.323504853707,910.864456380738
"Gradual passive abatement",2019,878.250459204468,831.323504853707,910.864456380738
"Active 10-year reversion",2020,856.133347178359,804.965615127776,897.56540256175
"Active 2-year reversion",2020,856.133347178359,804.965615127776,897.56540256175
"Active 5-year reversion",2020,856.133347178359,804.965615127776,897.56540256175
"Continue state of emergency",2020,856.133347178359,804.965615127776,897.56540256175
"Gradual passive abatement",2020,856.133347178359,804.965615127776,897.56540256175
"Active 10-year reversion",2021,820.855779792777,766.406478049306,871.934890113086
"Active 2-year reversion",2021,820.855779792777,766.406478049306,871.934890113086
"Active 5-year reversion",2021,820.855779792777,766.406478049306,871.934890113086
"Continue state of emergency",2021,820.855779792777,766.406478049306,871.934890113086
"Gradual passive abatement",2021,820.855779792777,766.406478049306,871.934890113086
"Active 10-year reversion",2022,789.591576055118,731.925110656355,847.589769074568
"Active 2-year reversion",2022,789.591576055118,731.925110656355,847.589769074568
"Active 5-year reversion",2022,789.591576055118,731.925110656355,847.589769074568
"Continue state of emergency",2022,789.591576055118,731.925110656355,847.589769074568
"Gradual passive abatement",2022,789.591576055118,731.925110656355,847.589769074568
"Active 10-year reversion",2023,2092.33499823863,2033.75310736678,2173.01071139246
"Active 2-year reversion",2023,2092.33499823863,2033.75310736678,2173.01071139246
"Active 5-year reversion",2023,2092.33499823863,2033.75310736678,2173.01071139246
"Continue state of emergency",2023,2092.33499823863,2033.75310736678,2173.01071139246
"Gradual passive abatement",2023,2092.33499823863,2033.75310736678,2173.01071139246
"Active 10-year reversion",2024,2303.63620681192,2228.57538194148,2363.8979697915
"Active 2-year reversion",2024,2303.63639940248,2228.57518640136,2363.89800271553
"Active 5-year reversion",2024,2303.63633962921,2228.57533945804,2363.89794414848
"Continue state of emergency",2024,2303.63649298903,2228.57547459033,2363.8981162795
"Gradual passive abatement",2024,2303.63628166651,2228.57405122964,2363.89799860489
"Active 10-year reversion",2025,2141.70559089328,2054.97293464927,2209.10543185939
"Active 2-year reversion",2025,1644.0669285311,1505.23426528367,1774.80844574608
"Active 5-year reversion",2025,2026.47860896813,1933.23206768178,2100.26774358386
"Continue state of emergency",2025,2346.63352163624,2211.64690349765,2469.8809599914
"Gradual passive abatement",2025,2329.56697085732,2199.46134974896,2446.98219863084
"Active 10-year reversion",2026,1832.98442275926,1725.40174800608,1932.83444119749
"Active 2-year reversion",2026,864.709801326706,670.820551699605,1084.00784474542
"Active 5-year reversion",2026,1560.76998234731,1417.17273548894,1703.04020141886
"Continue state of emergency",2026,2393.13937377032,2187.99689943206,2577.35700150893
"Gradual passive abatement",2026,2329.29791912248,2148.82202223517,2489.21686852715
"Active 10-year reversion",2027,1591.78003728507,1458.00907324677,1730.91848767233
"Active 2-year reversion",2027,680.987093781941,539.396834603307,855.985640349811
"Active 5-year reversion",2027,1239.87520977214,1071.23273511832,1427.04938413071
"Continue state of emergency",2027,2440.9511727194,2167.06350524232,2682.78872231143
"Gradual passive abatement",2027,2303.88038944968,2085.1740828401,2496.70195771865
"Active 10-year reversion",2028,1404.33684439684,1256.29099996965,1570.42096141217
"Active 2-year reversion",2028,561.16582691061,447.794424366346,704.09660858782
"Active 5-year reversion",2028,1016.20088700482,844.137439150713,1222.10340075525
"Continue state of emergency",2028,2490.04892653708,2161.12577434322,2786.95188771682
"Gradual passive abatement",2028,2255.56679730828,2014.97662826116,2465.47682850826
"Active 10-year reversion",2029,1255.77259234342,1098.65279921208,1438.50531950706
"Active 2-year reversion",2029,478.302078573787,382.417784047639,601.46661890571
"Active 5-year reversion",2029,857.345582595178,695.175615508483,1067.65305660392
"Continue state of emergency",2029,2541.38934347976,2156.47970470765,2884.7263041867
"Gradual passive abatement",2029,2186.9661856921,1931.62404412728,2402.06414481671
"Active 10-year reversion",2030,1135.6708591805,978.258816174318,1331.33772827677
"Active 2-year reversion",2030,420.313219754017,335.695773477988,528.843296062877
"Active 5-year reversion",2030,743.140217794025,595.409237462167,947.913674515404
"Continue state of emergency",2030,2591.18407679597,2154.62909442393,2977.77883268796
"Gradual passive abatement",2030,2096.73565222713,1837.33280165323,2326.04674297833
"Active 10-year reversion",2031,1039.21294321402,886.588280550341,1237.99104964526
"Active 2-year reversion",2031,377.365626833105,300.441160860148,474.650979260026
"Active 5-year reversion",2031,658.994592866803,524.868643755699,853.404111234141
"Continue state of emergency",2031,2638.56243797788,2152.29161643663,3066.83007441112
"Gradual passive abatement",2031,1990.59702363545,1737.49261985253,2217.04330506091
"Active 10-year reversion",2032,961.116928417939,811.71905203713,1158.36573109557
"Active 2-year reversion",2032,344.618995522624,276.292468185409,432.707623137293
"Active 5-year reversion",2032,595.793520760972,474.14661989769,781.08176450783
"Continue state of emergency",2032,2685.23966071379,2155.61122463011,3152.52906705573
"Gradual passive abatement",2032,1870.98451906914,1622.90969329432,2094.70959815568
"Active 10-year reversion",2033,896.129797425756,754.93654624753,1093.06459137912
"Active 2-year reversion",2033,319.450619446104,258.627986764472,398.484440380114
"Active 5-year reversion",2033,546.777927438592,438.967013884942,722.585673435307
"Continue state of emergency",2033,2731.52508581358,2157.55679224099,3237.47117354822
"Gradual passive abatement",2033,1742.85704512537,1502.00056383103,1955.21438665581
"Active 10-year reversion",2034,841.992737802095,706.507831019437,1035.54309594536
"Active 2-year reversion",2034,299.1742105246,245.047225498619,370.712717312531
"Active 5-year reversion",2034,508.493274231076,410.908609530489,674.150500809471
"Continue state of emergency",2034,2776.98749500643,2161.53824787083,3317.40166770943
"Gradual passive abatement",2034,1604.03010781175,1382.31212071193,1809.84882566539
"Active 10-year reversion",2035,796.52010214771,666.449863032495,985.802681190376
"Active 2-year reversion",2035,282.726222149822,234.559176391114,347.620762135363
"Active 5-year reversion",2035,477.774365752431,388.768937968702,632.306808460822
